year,geography,measure,adjustment,analysis,domain,condition,primary_sex,primary_age,primary_dual,fips,county,state,urban,primary_race,primary_value,primary_eligibility,primary_denominator,comparison_sex,comparison_age,comparison_dual,comparison_race,comparison_eligibility,comparison_value,comparison_denominator,analysis_value
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2060,Bristol Bay Borough,ALASKA,Rural,All,12126,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-5386
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2070,Dillingham Census Area,ALASKA,Rural,All,16795,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-717
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2090,Fairbanks North Star Borough,ALASKA,Urban,All,12225,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-5287
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2100,Haines Borough,ALASKA,Rural,All,16910,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-602
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2110,Juneau City and Borough,ALASKA,Rural,All,14100,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-3412
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2130,Ketchikan Gateway Borough,ALASKA,Rural,All,13039,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-4473
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2150,Kodiak Island Borough,ALASKA,Rural,All,12157,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-5355
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2170,Matanuska-Susitna Borough,ALASKA,Urban,All,15830,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-1682
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2180,Nome Census Area,ALASKA,Rural,All,20890,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",3378
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2220,Sitka City and Borough,ALASKA,Rural,All,21718,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",4206
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2230,Skagway Municipality,ALASKA,Rural,All,21042,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",3530
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2240,Southeast Fairbanks Census Area,ALASKA,Rural,All,15848,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-1664
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2270,Wade Hampton Census Area,ALASKA,Rural,All,23663,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",6151
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,2290,Yukon-Koyukuk Census Area,ALASKA,Rural,All,11643,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,17512,"undefined",-5869
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4001,Apache County,ARIZONA,Rural,All,15322,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1405
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4003,Cochise County,ARIZONA,Rural,All,13171,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-3556
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4005,Coconino County,ARIZONA,Urban,All,15348,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1379
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4007,Gila County,ARIZONA,Rural,All,14748,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1979
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4009,Graham County,ARIZONA,Rural,All,13361,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-3366
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4011,Greenlee County,ARIZONA,Rural,All,11940,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-4787
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4012,La Paz County,ARIZONA,Rural,All,15957,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-770
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4013,Maricopa County,ARIZONA,Urban,All,15473,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1254
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4015,Mohave County,ARIZONA,Urban,All,13984,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-2743
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4017,Navajo County,ARIZONA,Rural,All,14830,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1897
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4019,Pima County,ARIZONA,Urban,All,13424,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-3303
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4021,Pinal County,ARIZONA,Urban,All,14927,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1800
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4023,Santa Cruz County,ARIZONA,Rural,All,11371,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-5356
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4025,Yavapai County,ARIZONA,Urban,All,13461,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-3266
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,4027,Yuma County,ARIZONA,Urban,All,14783,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,16727,"undefined",-1944
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,5001,Arkansas County,ARKANSAS,Rural,All,12014,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15532,"undefined",-3518
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,5003,Ashley County,ARKANSAS,Rural,All,15325,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15532,"undefined",-207
2019,County,Average total cost,Unsmoothed actual,Difference from state/territory average,Primary chronic conditions,"Diabetes",All,All,Dual & non-dual,5005,Baxter County,ARKANSAS,Rural,All,12840,Old Age / Survivor's Insurance,"undefined",All,All,Dual & non-dual,All,All,15532,"undefined",-2692
